model,folder,parts_count,pdf,status,file_count
131705,67480,35,assets/robocze-pdf/67480.pdf,parts-from-docx,15
131823,67480,35,assets/robocze-pdf/67480.pdf,parts-from-docx,15
132018,67480,35,assets/robocze-pdf/67480.pdf,parts-from-docx,15
67470,67470,30,assets/robocze-pdf/67470.pdf,parts-from-docx,10
091851,67470,30,assets/robocze-pdf/67470.pdf,parts-from-docx,10
084658,67470,30,assets/robocze-pdf/67470.pdf,parts-from-docx,10
085858,67470,30,assets/robocze-pdf/67470.pdf,parts-from-docx,10
090144,67470,30,assets/robocze-pdf/67470.pdf,parts-from-docx,10
090104,67470,30,assets/robocze-pdf/67470.pdf,parts-from-docx,10
085802,67470,30,assets/robocze-pdf/67470.pdf,parts-from-docx,10
67453,67453,28,assets/robocze-pdf/67453.pdf,parts-from-docx,9
085338,67453,28,assets/robocze-pdf/67453.pdf,parts-from-docx,9
092744,67453,28,assets/robocze-pdf/67453.pdf,parts-from-docx,9
095030,67453,28,assets/robocze-pdf/67453.pdf,parts-from-docx,9
092727,67453,28,assets/robocze-pdf/67453.pdf,parts-from-docx,9
094911,67453,28,assets/robocze-pdf/67453.pdf,parts-from-docx,9
095039,67453,28,assets/robocze-pdf/67453.pdf,parts-from-docx,9
67424,67424,26,assets/robocze-pdf/67424.pdf,parts-from-docx,5
67451,67451,46,assets/robocze-pdf/67451.pdf,parts-from-docx,10
092405,67451,46,assets/robocze-pdf/67451.pdf,parts-from-docx,10
092108,67451,46,assets/robocze-pdf/67451.pdf,parts-from-docx,10
084725,67451,46,assets/robocze-pdf/67451.pdf,parts-from-docx,10
091615,67451,46,assets/robocze-pdf/67451.pdf,parts-from-docx,10
091713,67451,46,assets/robocze-pdf/67451.pdf,parts-from-docx,10
092415,67451,46,assets/robocze-pdf/67451.pdf,parts-from-docx,10
67455,67455,40,assets/robocze-pdf/67455.pdf,parts-from-docx,9
135850,67455,40,assets/robocze-pdf/67455.pdf,parts-from-docx,9
134303,67455,40,assets/robocze-pdf/67455.pdf,parts-from-docx,9
134815,67455,40,assets/robocze-pdf/67455.pdf,parts-from-docx,9
142103,67455,40,assets/robocze-pdf/67455.pdf,parts-from-docx,9
142007,67455,40,assets/robocze-pdf/67455.pdf,parts-from-docx,9
67458,67458,54,assets/robocze-pdf/67458.pdf,parts-from-docx,4
YT-84840,YT-84840,130,assets/robocze-pdf/yt-84840.pdf,parts-from-docx,5
67420,67420,45,assets/robocze-pdf/67420.pdf,parts-from-docx,13
090204,67420,45,assets/robocze-pdf/67420.pdf,parts-from-docx,13
081243,67420,45,assets/robocze-pdf/67420.pdf,parts-from-docx,13
081440,67420,45,assets/robocze-pdf/67420.pdf,parts-from-docx,13
081312,67420,45,assets/robocze-pdf/67420.pdf,parts-from-docx,13
085943,67420,45,assets/robocze-pdf/67420.pdf,parts-from-docx,13
081256,67420,45,assets/robocze-pdf/67420.pdf,parts-from-docx,13
085935,67420,45,assets/robocze-pdf/67420.pdf,parts-from-docx,13
090151,67420,45,assets/robocze-pdf/67420.pdf,parts-from-docx,13
67220,67220,40,assets/robocze-pdf/67220.pdf,parts-from-docx,3
YT-17009,DZ_YT-17009,75,assets/robocze-pdf/dz-yt-17009.pdf,parts-from-docx,8
YT-17000,DZ_YT-17009,75,assets/robocze-pdf/dz-yt-17009.pdf,parts-from-docx,8
17009,DZ_YT-17009,75,assets/robocze-pdf/dz-yt-17009.pdf,parts-from-docx,8
YT-82001,YT-82001,93,assets/robocze-pdf/yt-82001.pdf,parts-from-docx,3
67457,67457,63,assets/robocze-pdf/67457.pdf,parts-from-docx,15
090423,67457,63,assets/robocze-pdf/67457.pdf,parts-from-docx,15
090548,67457,63,assets/robocze-pdf/67457.pdf,parts-from-docx,15
091443,67457,63,assets/robocze-pdf/67457.pdf,parts-from-docx,15
084647,67457,63,assets/robocze-pdf/67457.pdf,parts-from-docx,15
085814,67457,63,assets/robocze-pdf/67457.pdf,parts-from-docx,15
085738,67457,63,assets/robocze-pdf/67457.pdf,parts-from-docx,15
084854,67457,63,assets/robocze-pdf/67457.pdf,parts-from-docx,15
090809,67457,63,assets/robocze-pdf/67457.pdf,parts-from-docx,15
085732,67457,63,assets/robocze-pdf/67457.pdf,parts-from-docx,15
67091,67091,36,assets/robocze-pdf/67091.pdf,parts-from-docx,4
67113,67113,46,assets/robocze-pdf/67113.pdf,parts-from-docx,8
67090,67090,53,assets/robocze-pdf/67090.pdf,parts-from-docx,3
66841,66841,31,assets/robocze-pdf/66841.pdf,parts-from-docx,4
YT-09695,YT-09695,34,assets/robocze-pdf/yt-09695.pdf,parts-from-docx,4
66842,66842,34,assets/robocze-pdf/66842.pdf,parts-from-docx,4
67110,67110,33,assets/robocze-pdf/67110.pdf,parts-from-docx,3
66930,66930,23,assets/robocze-pdf/66930.pdf,parts-from-docx,4
67112,67112,26,assets/robocze-pdf/67112.pdf,parts-from-docx,5
58700,58700,103,assets/robocze-pdf/58700.pdf,parts-from-docx,4
58691,58691,103,assets/robocze-pdf/58691.pdf,parts-from-docx,4
57091,57091,46,assets/robocze-pdf/57091.pdf,parts-from-docx,3
58643,58643,28,assets/robocze-pdf/58643.pdf,parts-from-docx,3
58690,58690,94,assets/robocze-pdf/58690.pdf,parts-from-docx,3
58539,58539,3,assets/robocze-pdf/58539.pdf,parts-from-docx,3
58540,58540,180,assets/robocze-pdf/58540.pdf,parts-from-docx,18
58661,58661,22,assets/robocze-pdf/58661.pdf,parts-from-docx,4
58550,58550,530,assets/robocze-pdf/58550.pdf,parts-from-docx,5
YT-09620,YT-09620,53,assets/robocze-pdf/yt-09620.pdf,parts-from-docx,3
09620,YT-09620,53,assets/robocze-pdf/yt-09620.pdf,parts-from-docx,3
57092,57092,45,assets/robocze-pdf/57092.pdf,parts-from-docx,3
57097,57097,53,assets/robocze-pdf/57097.pdf,parts-from-docx,3
55820,55820,5,assets/robocze-pdf/55820.pdf,parts-from-docx,2
YT-55584,YT-55584,43,assets/robocze-pdf/yt-55584.pdf,parts-from-docx,7
07205,YT-55584,43,assets/robocze-pdf/yt-55584.pdf,parts-from-docx,7
58687,58687,73,assets/robocze-pdf/58687.pdf,parts-from-docx,4
67200,67200,42,assets/robocze-pdf/67200.pdf,parts-from-docx,3
67120,67120,41,assets/robocze-pdf/67120.pdf,parts-from-docx,5
67201,67201,39,assets/robocze-pdf/67201.pdf,parts-from-docx,3
09900,09900,4,assets/robocze-pdf/09900.pdf,parts-from-docx,2
67125,67125,119,assets/robocze-pdf/67125.pdf,parts-from-docx,5
53575,"53575, 53576, 53577",43,assets/robocze-pdf/53575-53576-53577.pdf,parts-from-docx,6
53576,"53575, 53576, 53577",43,assets/robocze-pdf/53575-53576-53577.pdf,parts-from-docx,6
53577,"53575, 53576, 53577",43,assets/robocze-pdf/53575-53576-53577.pdf,parts-from-docx,6
79791,79791,54,assets/robocze-pdf/79791.pdf,parts-from-docx,3
