model,title,currentBrand,suggestedBrand,suggestionReason,bucket,previewUrl,fileId
66841,Czesci_zamienne_66841.pdf,DO ROZPOZNANIA,,,66xxx,https://drive.google.com/file/d/1xgcDNcn79EJMvpvY5X6bL6IltMM3mqbA/preview,1xgcDNcn79EJMvpvY5X6bL6IltMM3mqbA
66842,Czesci_zamienne_66842.pdf,DO ROZPOZNANIA,,,66xxx,https://drive.google.com/file/d/1iq1gaWAa_96oN-42tAYWEa96d5tfwehh/preview,1iq1gaWAa_96oN-42tAYWEa96d5tfwehh
66930,Czesci_zamienne_66930.pdf,DO ROZPOZNANIA,,,66xxx,https://drive.google.com/file/d/1pv4v9x5dqIic2uNdH5j3U8NHUYQw9KW9/preview,1pv4v9x5dqIic2uNdH5j3U8NHUYQw9KW9
66932,Czesci_zamienne_66932.pdf,DO ROZPOZNANIA,,,66xxx,https://drive.google.com/file/d/1L0AX6fm3QmjQ6V9twk4pUKPJ7myX3mkR/preview,1L0AX6fm3QmjQ6V9twk4pUKPJ7myX3mkR
66934,Czesci_zamienne_66934.pdf,DO ROZPOZNANIA,,,66xxx,https://drive.google.com/file/d/1fqCeZsLhMXTZUVciY_38lXzyVy9mWARr/preview,1fqCeZsLhMXTZUVciY_38lXzyVy9mWARr
66936,Czesci_zamienne_66936.pdf,DO ROZPOZNANIA,,,66xxx,https://drive.google.com/file/d/1uhaX527zQXfyaObltYMsMsvLOuSGs840/preview,1uhaX527zQXfyaObltYMsMsvLOuSGs840
66940,Czesci_zamienne_66940.pdf,DO ROZPOZNANIA,,,66xxx,https://drive.google.com/file/d/19JjxFxnDLYuIk1NbGuJbQAW3PPCdsQYm/preview,19JjxFxnDLYuIk1NbGuJbQAW3PPCdsQYm
66950,Czesci_zamienne_66950.pdf,DO ROZPOZNANIA,,,66xxx,https://drive.google.com/file/d/15vWhtzFDm3ySW1shw3PLRCxBHXBYB4PK/preview,15vWhtzFDm3ySW1shw3PLRCxBHXBYB4PK
67026,Czesci_zamienne_67026.pdf,DO ROZPOZNANIA,LUND? / INNE?,"Dużo modeli 67xxx/68xxx; brak twardego seedu, do potwierdzenia wizualnie/źródłem.",67xxx,https://drive.google.com/file/d/19vXAwB4N_7ZCyoXn5Ds3bqDr4ZD8KZzq/preview,19vXAwB4N_7ZCyoXn5Ds3bqDr4ZD8KZzq
67032,Czesci_zamienne_67032.pdf,DO ROZPOZNANIA,LUND? / INNE?,"Dużo modeli 67xxx/68xxx; brak twardego seedu, do potwierdzenia wizualnie/źródłem.",67xxx,https://drive.google.com/file/d/1bNeDN9j0wxqLaPp82XaSTJEDj6rqQzs3/preview,1bNeDN9j0wxqLaPp82XaSTJEDj6rqQzs3
67033,Czesci_zamienne_67033.pdf,DO ROZPOZNANIA,LUND? / INNE?,"Dużo modeli 67xxx/68xxx; brak twardego seedu, do potwierdzenia wizualnie/źródłem.",67xxx,https://drive.google.com/file/d/1jdo0kJQvoONEiBl8F0uURd4cRrE6Rp9a/preview,1jdo0kJQvoONEiBl8F0uURd4cRrE6Rp9a
