fileId,model,brand,fileName,currentTitle,needsTitle,needsParts,drawingId,viewerUrl,openUrl
160OFy9Bo1-hscX8yz_zLNyPCJreLfqi_,79106,LUND,Czesci_zamienne_79106.pdf,79106 — rysunek części LUND (PDF Drive),False,True,9b6f6e6a5e4e237f,https://drive.google.com/file/d/160OFy9Bo1-hscX8yz_zLNyPCJreLfqi_/preview,https://drive.google.com/file/d/160OFy9Bo1-hscX8yz_zLNyPCJreLfqi_/view
13h5yw0iIUuS1mWwRce2L0_iXrKnWtvL8,79098,LUND,Czesci_zamienne_79098.pdf,79098 — rysunek części LUND (PDF Drive),False,True,4c899d0fa918a397,https://drive.google.com/file/d/13h5yw0iIUuS1mWwRce2L0_iXrKnWtvL8/preview,https://drive.google.com/file/d/13h5yw0iIUuS1mWwRce2L0_iXrKnWtvL8/view
1K5ErBbwCA0d7TZ9pDKu3fhRC_SSIIIeG,79096,LUND,Czesci_zamienne_79096.pdf,79096 — rysunek części LUND (PDF Drive),False,True,2e8b38326660225c,https://drive.google.com/file/d/1K5ErBbwCA0d7TZ9pDKu3fhRC_SSIIIeG/preview,https://drive.google.com/file/d/1K5ErBbwCA0d7TZ9pDKu3fhRC_SSIIIeG/view
1tqE-_TBiUPGOPfgb0tANJE8ZW75npZqK,79024,LUND,Czesci_zamienne_79024.pdf,79024 — rysunek części LUND (PDF Drive),False,True,4d16f8234839175c,https://drive.google.com/file/d/1tqE-_TBiUPGOPfgb0tANJE8ZW75npZqK/preview,https://drive.google.com/file/d/1tqE-_TBiUPGOPfgb0tANJE8ZW75npZqK/view
1QFjDcOKcVO1RuFhU-5jb8vQLpIe8d0Ob,79004,LUND,Czesci_zamienne_79004.pdf,79004 — rysunek części LUND (PDF Drive),False,True,c922d1e18d0f5ccc,https://drive.google.com/file/d/1QFjDcOKcVO1RuFhU-5jb8vQLpIe8d0Ob/preview,https://drive.google.com/file/d/1QFjDcOKcVO1RuFhU-5jb8vQLpIe8d0Ob/view
1D636X69gLB38HaCUMzGMqQfYxohWIBQt,73060,LUND,Czesci_zamienne_73060.pdf,73060 — rysunek części LUND (PDF Drive),False,True,de325d867d027ad2,https://drive.google.com/file/d/1D636X69gLB38HaCUMzGMqQfYxohWIBQt/preview,https://drive.google.com/file/d/1D636X69gLB38HaCUMzGMqQfYxohWIBQt/view
136cRXR5QK5k7Uan2vatjIqPSvdyESAd_,79354,STHOR,Czesci_zamienne_79354.pdf,79354 — rysunek części STHOR (PDF Drive),False,True,b73069310d955f7c,https://drive.google.com/file/d/136cRXR5QK5k7Uan2vatjIqPSvdyESAd_/preview,https://drive.google.com/file/d/136cRXR5QK5k7Uan2vatjIqPSvdyESAd_/view
1DAJGp-Aulimf-yuUbR0e7WbAp-NaCaTS,79151,STHOR,Czesci_zamienne_79151.pdf,79151 — rysunek części STHOR (PDF Drive),False,True,97af5268fc6c514e,https://drive.google.com/file/d/1DAJGp-Aulimf-yuUbR0e7WbAp-NaCaTS/preview,https://drive.google.com/file/d/1DAJGp-Aulimf-yuUbR0e7WbAp-NaCaTS/view
1V16kpJUdUHdMtpy6dov0ewvlm2bP8Vkp,79140,STHOR,Czesci_zamienne_79140.pdf,79140 — rysunek części STHOR (PDF Drive),False,True,c14f16f0ee7dd12d,https://drive.google.com/file/d/1V16kpJUdUHdMtpy6dov0ewvlm2bP8Vkp/preview,https://drive.google.com/file/d/1V16kpJUdUHdMtpy6dov0ewvlm2bP8Vkp/view
1Ln8feT8aVnt33zxx4Z4mICsRZncIFcbP,79119,STHOR,Czesci_zamienne_79119.pdf,79119 — rysunek części STHOR (PDF Drive),False,True,31525d85c5e69e89,https://drive.google.com/file/d/1Ln8feT8aVnt33zxx4Z4mICsRZncIFcbP/preview,https://drive.google.com/file/d/1Ln8feT8aVnt33zxx4Z4mICsRZncIFcbP/view
